Command,Sell,Item,"Wednesday, August 24, 2016 5:59:41 PM EST","exactproject",130,SUGAR_CANE,0,"exactproject",455.0,money,$,"world",-473,63,768,
Command,Sell,Item,"Wednesday, August 24, 2016 9:55:02 PM EST","Lady_Yashacat",35,GRILLED_PORK,0,"Lady_Yashacat",17.5,money,$,"world",-14865,64,-12986,
Command,Sell,Item,"Wednesday, August 24, 2016 10:24:59 PM EST","Lady_Yashacat",103,ROTTEN_FLESH,0,"Lady_Yashacat",133.9,money,$,"world",-14876,64,-12986,
Command,Sell,Item,"Thursday, August 25, 2016 12:57:16 AM EST","ImaginaryAus",1,GOLD_NUGGET,0,"ImaginaryAus",14.24,money,$,"world",126923,64,433140,
Command,Sell,Item,"Thursday, August 25, 2016 12:57:36 AM EST","ImaginaryAus",2304,GOLD_NUGGET,0,"ImaginaryAus",32808.96,money,$,"world",126923,64,433140,
Command,Sell,Item,"Thursday, August 25, 2016 12:57:59 AM EST","ImaginaryAus",2304,GOLD_NUGGET,0,"ImaginaryAus",32808.96,money,$,"world",126923,64,433140,
Command,Sell,Item,"Thursday, August 25, 2016 2:12:40 AM EST","ImaginaryAus",1,WOOD_AXE,0,"ImaginaryAus",1.5,money,$,"world",126917,64,433137,
Command,Sell,Item,"Thursday, August 25, 2016 2:12:40 AM EST","ImaginaryAus",1,SEEDS,0,"ImaginaryAus",12.5,money,$,"world",126917,64,433137,
Command,Sell,Item,"Thursday, August 25, 2016 2:12:40 AM EST","ImaginaryAus",29,WHEAT,0,"ImaginaryAus",362.5,money,$,"world",126917,64,433137,
Command,Sell,Item,"Thursday, August 25, 2016 2:12:40 AM EST","ImaginaryAus",5,MONSTER_EGG,0,"ImaginaryAus",100,money,$,"world",126917,64,433137,
Command,Sell,Item,"Thursday, August 25, 2016 2:14:39 AM EST","ImaginaryAus",2304,GOLD_NUGGET,0,"ImaginaryAus",32808.96,money,$,"world",126924,64,433139,
Command,Sell,Item,"Thursday, August 25, 2016 2:14:55 AM EST","ImaginaryAus",2304,GOLD_NUGGET,0,"ImaginaryAus",32808.96,money,$,"world",126924,64,433139,
Command,Sell,Item,"Thursday, August 25, 2016 2:16:32 AM EST","ImaginaryAus",2,SEEDS,0,"ImaginaryAus",25.0,money,$,"world",126912,64,433140,
Command,Sell,Item,"Thursday, August 25, 2016 2:16:32 AM EST","ImaginaryAus",1,BONE,0,"ImaginaryAus",0.2,money,$,"world",126912,64,433140,
Command,Sell,Item,"Thursday, August 25, 2016 2:16:32 AM EST","ImaginaryAus",3,ROTTEN_FLESH,0,"ImaginaryAus",3.9,money,$,"world",126912,64,433140,
Command,Sell,Item,"Thursday, August 25, 2016 2:16:32 AM EST","ImaginaryAus",3,GOLD_NUGGET,0,"ImaginaryAus",42.72,money,$,"world",126912,64,433140,
Command,Sell,Item,"Thursday, August 25, 2016 2:16:32 AM EST","ImaginaryAus",1,ARROW,0,"ImaginaryAus",5.0,money,$,"world",126912,64,433140,
Command,Sell,Item,"Thursday, August 25, 2016 2:43:30 AM EST","redhotprime",1,GOLD_NUGGET,0,"redhotprime",14.24,money,$,"world",-8185,73,-13646,
Command,Sell,Item,"Thursday, August 25, 2016 2:43:33 AM EST","redhotprime",2,BONE,0,"redhotprime",0.4,money,$,"world",-8185,73,-13646,
Command,Sell,Item,"Thursday, August 25, 2016 2:43:40 AM EST","redhotprime",60,GRAVEL,0,"redhotprime",46.80,money,$,"world",-8185,73,-13646,
Command,Sell,Item,"Thursday, August 25, 2016 2:43:43 AM EST","redhotprime",4,FLINT,0,"redhotprime",5.2,money,$,"world",-8185,73,-13646,
